Addestramento XGBoost su GPU con early stopping...
[0]     validation_0-logloss:0.67989
[1]     validation_0-logloss:0.66866
[2]     validation_0-logloss:0.65686
[3]     validation_0-logloss:0.64543
[4]     validation_0-logloss:0.63452
[5]     validation_0-logloss:0.62390
[6]     validation_0-logloss:0.61497
[7]     validation_0-logloss:0.60598
[8]     validation_0-logloss:0.59627
[9]     validation_0-logloss:0.58717
[10]    validation_0-logloss:0.57821
[11]    validation_0-logloss:0.56969
[12]    validation_0-logloss:0.56213
[13]    validation_0-logloss:0.55387
[14]    validation_0-logloss:0.54584
[15]    validation_0-logloss:0.53964
[16]    validation_0-logloss:0.53285
[17]    validation_0-logloss:0.52598
[18]    validation_0-logloss:0.51885
[19]    validation_0-logloss:0.51198
[20]    validation_0-logloss:0.50609
[21]    validation_0-logloss:0.49966
[22]    validation_0-logloss:0.49408
[23]    validation_0-logloss:0.48840
[24]    validation_0-logloss:0.48238
[25]    validation_0-logloss:0.47652
[26]    validation_0-logloss:0.47076
[27]    validation_0-logloss:0.46580
[28]    validation_0-logloss:0.46076
[29]    validation_0-logloss:0.45543
[30]    validation_0-logloss:0.45139
[31]    validation_0-logloss:0.44902
[32]    validation_0-logloss:0.44501
[33]    validation_0-logloss:0.44025
[34]    validation_0-logloss:0.43594
[35]    validation_0-logloss:0.43177
[36]    validation_0-logloss:0.42714
[37]    validation_0-logloss:0.42278
[38]    validation_0-logloss:0.41983
[39]    validation_0-logloss:0.41555
[40]    validation_0-logloss:0.41135
[41]    validation_0-logloss:0.40761
[42]    validation_0-logloss:0.40496
[43]    validation_0-logloss:0.40129
[44]    validation_0-logloss:0.39777
[45]    validation_0-logloss:0.39407
[46]    validation_0-logloss:0.39084
[47]    validation_0-logloss:0.38780
[48]    validation_0-logloss:0.38470
[49]    validation_0-logloss:0.38177
[50]    validation_0-logloss:0.37838
[51]    validation_0-logloss:0.37501
[52]    validation_0-logloss:0.37225
[53]    validation_0-logloss:0.36909
[54]    validation_0-logloss:0.36731
[55]    validation_0-logloss:0.36449
[56]    validation_0-logloss:0.36242
[57]    validation_0-logloss:0.35942
[58]    validation_0-logloss:0.35656
[59]    validation_0-logloss:0.35375
[60]    validation_0-logloss:0.35081
[61]    validation_0-logloss:0.34802
[62]    validation_0-logloss:0.34562
[63]    validation_0-logloss:0.34323
[64]    validation_0-logloss:0.34055
[65]    validation_0-logloss:0.33838
[66]    validation_0-logloss:0.33614
[67]    validation_0-logloss:0.33374
[68]    validation_0-logloss:0.33133
[69]    validation_0-logloss:0.32917
[70]    validation_0-logloss:0.32686
[71]    validation_0-logloss:0.32492
[72]    validation_0-logloss:0.32276
[73]    validation_0-logloss:0.32161
[74]    validation_0-logloss:0.31966
[75]    validation_0-logloss:0.31770
[76]    validation_0-logloss:0.31570
[77]    validation_0-logloss:0.31391
[78]    validation_0-logloss:0.31187
[79]    validation_0-logloss:0.31014
[80]    validation_0-logloss:0.30842
[81]    validation_0-logloss:0.30680
[82]    validation_0-logloss:0.30490
[83]    validation_0-logloss:0.30301
[84]    validation_0-logloss:0.30138
[85]    validation_0-logloss:0.29975
[86]    validation_0-logloss:0.29839
[87]    validation_0-logloss:0.29685
[88]    validation_0-logloss:0.29520
[89]    validation_0-logloss:0.29350
[90]    validation_0-logloss:0.29186
[91]    validation_0-logloss:0.29037
[92]    validation_0-logloss:0.28873
[93]    validation_0-logloss:0.28739
[94]    validation_0-logloss:0.28584
[95]    validation_0-logloss:0.28450
[96]    validation_0-logloss:0.28293
[97]    validation_0-logloss:0.28168
[98]    validation_0-logloss:0.28024
[99]    validation_0-logloss:0.27894
[100]   validation_0-logloss:0.27764
[101]   validation_0-logloss:0.27641
[102]   validation_0-logloss:0.27504
[103]   validation_0-logloss:0.27391
[104]   validation_0-logloss:0.27277
[105]   validation_0-logloss:0.27165
[106]   validation_0-logloss:0.27025
[107]   validation_0-logloss:0.26917
[108]   validation_0-logloss:0.26790
[109]   validation_0-logloss:0.26660
[110]   validation_0-logloss:0.26552
[111]   validation_0-logloss:0.26450
[112]   validation_0-logloss:0.26324
[113]   validation_0-logloss:0.26204
[114]   validation_0-logloss:0.26084
[115]   validation_0-logloss:0.25982
[116]   validation_0-logloss:0.25880
[117]   validation_0-logloss:0.25783
[118]   validation_0-logloss:0.25668
[119]   validation_0-logloss:0.25577
[120]   validation_0-logloss:0.25487
[121]   validation_0-logloss:0.25381
[122]   validation_0-logloss:0.25283
[123]   validation_0-logloss:0.25175
[124]   validation_0-logloss:0.25073
[125]   validation_0-logloss:0.24984
[126]   validation_0-logloss:0.24887
[127]   validation_0-logloss:0.24800
[128]   validation_0-logloss:0.24711
[129]   validation_0-logloss:0.24624
[130]   validation_0-logloss:0.24528
[131]   validation_0-logloss:0.24427
[132]   validation_0-logloss:0.24342
[133]   validation_0-logloss:0.24265
[134]   validation_0-logloss:0.24188
[135]   validation_0-logloss:0.24108
[136]   validation_0-logloss:0.24025
[137]   validation_0-logloss:0.23954
[138]   validation_0-logloss:0.23862
[139]   validation_0-logloss:0.23777
[140]   validation_0-logloss:0.23696
[141]   validation_0-logloss:0.23628
[142]   validation_0-logloss:0.23533
[143]   validation_0-logloss:0.23456
[144]   validation_0-logloss:0.23383
[145]   validation_0-logloss:0.23316
[146]   validation_0-logloss:0.23252
[147]   validation_0-logloss:0.23179
[148]   validation_0-logloss:0.23107
[149]   validation_0-logloss:0.23031
[150]   validation_0-logloss:0.22947
[151]   validation_0-logloss:0.22875
[152]   validation_0-logloss:0.22814
[153]   validation_0-logloss:0.22728
[154]   validation_0-logloss:0.22651
[155]   validation_0-logloss:0.22587
[156]   validation_0-logloss:0.22525
[157]   validation_0-logloss:0.22465
[158]   validation_0-logloss:0.22393
[159]   validation_0-logloss:0.22316
[160]   validation_0-logloss:0.22257
[161]   validation_0-logloss:0.22199
[162]   validation_0-logloss:0.22121
[163]   validation_0-logloss:0.22060
[164]   validation_0-logloss:0.21997
[165]   validation_0-logloss:0.21931
[166]   validation_0-logloss:0.21878
[167]   validation_0-logloss:0.21823
[168]   validation_0-logloss:0.21754
[169]   validation_0-logloss:0.21695
[170]   validation_0-logloss:0.21636
[171]   validation_0-logloss:0.21565
[172]   validation_0-logloss:0.21493
[173]   validation_0-logloss:0.21438
[174]   validation_0-logloss:0.21373
[175]   validation_0-logloss:0.21304
[176]   validation_0-logloss:0.21248
[177]   validation_0-logloss:0.21174
[178]   validation_0-logloss:0.21126
[179]   validation_0-logloss:0.21055
[180]   validation_0-logloss:0.21002
[181]   validation_0-logloss:0.20939
[182]   validation_0-logloss:0.20874
[183]   validation_0-logloss:0.20816
[184]   validation_0-logloss:0.20767
[185]   validation_0-logloss:0.20720
[186]   validation_0-logloss:0.20676
[187]   validation_0-logloss:0.20617
[188]   validation_0-logloss:0.20578
[189]   validation_0-logloss:0.20529
[190]   validation_0-logloss:0.20488
[191]   validation_0-logloss:0.20425
[192]   validation_0-logloss:0.20384
[193]   validation_0-logloss:0.20331
[194]   validation_0-logloss:0.20281
[195]   validation_0-logloss:0.20240
[196]   validation_0-logloss:0.20192
[197]   validation_0-logloss:0.20130
[198]   validation_0-logloss:0.20089
[199]   validation_0-logloss:0.20046
[200]   validation_0-logloss:0.19998
[201]   validation_0-logloss:0.19950
[202]   validation_0-logloss:0.19916
[203]   validation_0-logloss:0.19865
[204]   validation_0-logloss:0.19818
[205]   validation_0-logloss:0.19773
[206]   validation_0-logloss:0.19721
[207]   validation_0-logloss:0.19678
[208]   validation_0-logloss:0.19637
[209]   validation_0-logloss:0.19600
[210]   validation_0-logloss:0.19553
[211]   validation_0-logloss:0.19502
[212]   validation_0-logloss:0.19456
[213]   validation_0-logloss:0.19413
[214]   validation_0-logloss:0.19373
[215]   validation_0-logloss:0.19327
[216]   validation_0-logloss:0.19285
[217]   validation_0-logloss:0.19250
[218]   validation_0-logloss:0.19202
[219]   validation_0-logloss:0.19158
[220]   validation_0-logloss:0.19109
[221]   validation_0-logloss:0.19075
[222]   validation_0-logloss:0.19028
[223]   validation_0-logloss:0.18976
[224]   validation_0-logloss:0.18938
[225]   validation_0-logloss:0.18907
[226]   validation_0-logloss:0.18869
[227]   validation_0-logloss:0.18830
[228]   validation_0-logloss:0.18795
[229]   validation_0-logloss:0.18761
[230]   validation_0-logloss:0.18729
[231]   validation_0-logloss:0.18688
[232]   validation_0-logloss:0.18649
[233]   validation_0-logloss:0.18600
[234]   validation_0-logloss:0.18555
[235]   validation_0-logloss:0.18519
[236]   validation_0-logloss:0.18474
[237]   validation_0-logloss:0.18431
[238]   validation_0-logloss:0.18390
[239]   validation_0-logloss:0.18357
[240]   validation_0-logloss:0.18313
[241]   validation_0-logloss:0.18276
[242]   validation_0-logloss:0.18235
[243]   validation_0-logloss:0.18200
[244]   validation_0-logloss:0.18161
[245]   validation_0-logloss:0.18128
[246]   validation_0-logloss:0.18100
[247]   validation_0-logloss:0.18068
[248]   validation_0-logloss:0.18036
[249]   validation_0-logloss:0.18007
[250]   validation_0-logloss:0.17975
[251]   validation_0-logloss:0.17945
[252]   validation_0-logloss:0.17912
[253]   validation_0-logloss:0.17883
[254]   validation_0-logloss:0.17853
[255]   validation_0-logloss:0.17819
[256]   validation_0-logloss:0.17790
[257]   validation_0-logloss:0.17759
[258]   validation_0-logloss:0.17728
[259]   validation_0-logloss:0.17697
[260]   validation_0-logloss:0.17658
[261]   validation_0-logloss:0.17624
[262]   validation_0-logloss:0.17593
[263]   validation_0-logloss:0.17563
[264]   validation_0-logloss:0.17537
[265]   validation_0-logloss:0.17507
[266]   validation_0-logloss:0.17476
[267]   validation_0-logloss:0.17445
[268]   validation_0-logloss:0.17415
[269]   validation_0-logloss:0.17381
[270]   validation_0-logloss:0.17350
[271]   validation_0-logloss:0.17317
[272]   validation_0-logloss:0.17286
[273]   validation_0-logloss:0.17250
[274]   validation_0-logloss:0.17225
[275]   validation_0-logloss:0.17199
[276]   validation_0-logloss:0.17176
[277]   validation_0-logloss:0.17147
[278]   validation_0-logloss:0.17119
[279]   validation_0-logloss:0.17087
[280]   validation_0-logloss:0.17061
[281]   validation_0-logloss:0.17038
[282]   validation_0-logloss:0.17009
[283]   validation_0-logloss:0.16973
[284]   validation_0-logloss:0.16939
[285]   validation_0-logloss:0.16909
[286]   validation_0-logloss:0.16885
[287]   validation_0-logloss:0.16863
[288]   validation_0-logloss:0.16839
[289]   validation_0-logloss:0.16812
[290]   validation_0-logloss:0.16778
[291]   validation_0-logloss:0.16756
[292]   validation_0-logloss:0.16736
[293]   validation_0-logloss:0.16713
[294]   validation_0-logloss:0.16679
[295]   validation_0-logloss:0.16649
[296]   validation_0-logloss:0.16621
[297]   validation_0-logloss:0.16594
[298]   validation_0-logloss:0.16564
[299]   validation_0-logloss:0.16536
Modello XGBoost GPU salvato in xgboost_gpu_finale.pkl

Risultati Finali:
Accuracy TRAIN: 0.9442
Accuracy VAL:   0.9420
Accuracy TEST:  0.9382
Spiegazione LIME salvata in 'lime_explanation_xgboost.html'
